Data,Temperatura,Humidade,Pressao,Velocidade do vento,Direcao do vento,Rajada de vento,Precipitacao,Luminosidade,Incidencia solar,Ponto de orvalho,n
06/01/2023 19:00:00 -03:00,27.2,82.6,1013.5,2,115,4,0,0,0,23.8,999
06/01/2023 20:00:00 -03:00,27,83,1013.8,1.2,127,5.4,0,0,0,23.7,998
06/01/2023 21:00:00 -03:00,27,83,1014,1.5,118.2,5.4,0,0,0,23.7,997
06/01/2023 22:00:00 -03:00,26.7,83.9,1013.9,0.8,123.7,4,0,0,0,23.5,996
06/01/2023 23:00:00 -03:00,26.5,85.4,1013.5,0.5,133.4,4,0,0,0,23.6,995
07/01/2023 00:00:00 -03:00,26.4,85.2,1012.9,0.7,121.2,4,0,0,0,23.5,994
07/01/2023 01:00:00 -03:00,26.1,86,1012.8,0.3,127.2,4,0,0,0,23.4,993
07/01/2023 02:00:00 -03:00,26,86.2,1012.8,0.2,132.8,4,0,0,0,23.3,992
07/01/2023 03:00:00 -03:00,25.9,85.5,1013,0.2,137.7,4,0,0,0,23.1,991
07/01/2023 04:00:00 -03:00,25.5,87.6,1013.5,0.1,144.2,2.5,0,0,0,23,990
07/01/2023 05:00:00 -03:00,25.2,89.7,1014.2,0,180,1.1,0,1936,0,23.2,989
07/01/2023 06:00:00 -03:00,28.1,78.4,1014.6,0.9,133.9,5.4,0,6356,1,23.8,988
07/01/2023 07:00:00 -03:00,28.4,76.2,1015.2,1.6,114.4,6.8,0,16299,3,23.6,987
07/01/2023 08:00:00 -03:00,29.4,70.7,1015.6,2.2,118.6,8.6,0,31467,6,23.3,986
07/01/2023 09:00:00 -03:00,30.2,68.2,1015.4,2,121.6,6.8,0,39990,8,23.5,985
07/01/2023 10:00:00 -03:00,30.5,67.4,1015.2,2.2,120.7,6.8,0,48244,10,23.5,984
07/01/2023 11:00:00 -03:00,30.8,66.1,1014.7,2.2,124.3,6.8,0,52943,10,23.4,983
07/01/2023 12:00:00 -03:00,30.7,67.8,1013.8,2.2,126.4,8.6,0,49224,8,23.8,982
07/01/2023 13:00:00 -03:00,30.9,64.9,1013.1,2.1,131.3,6.8,0,51502,7,23.3,981
07/01/2023 14:00:00 -03:00,30.4,67.7,1012.5,2.5,126.6,8.6,0,42538,3,23.5,980
07/01/2023 15:00:00 -03:00,29.8,71,1012.2,2.2,132.7,8.6,0,32944,2,23.7,979
07/01/2023 16:00:00 -03:00,28.4,75.8,1012.3,1.8,130.9,8.6,0,10306,1,23.5,978
07/01/2023 17:00:00 -03:00,27.7,78.8,1012.5,1.6,123.8,5.4,0,1770,0,23.5,977
07/01/2023 18:00:00 -03:00,27.3,80.6,1012.8,1.1,142.6,5.4,0,0,0,23.5,976
07/01/2023 19:00:00 -03:00,27.1,80.2,1013.6,1.4,141,5.4,0,0,0,23.2,975
07/01/2023 20:00:00 -03:00,26.8,80.5,1014,1,140.4,5.4,0,0,0,23,974
07/01/2023 21:00:00 -03:00,26.8,80.9,1014.3,1.2,126.6,5.4,0,0,0,23,973
07/01/2023 22:00:00 -03:00,26.8,81.2,1013.9,1.1,136.1,4,0,0,0,23.1,972
07/01/2023 23:00:00 -03:00,26.6,81,1013.2,0.6,141,5.4,0,0,0,22.9,971
08/01/2023 00:00:00 -03:00,26.5,82.6,1012.9,0.4,148.2,4,0,0,0,23.1,970
08/01/2023 01:00:00 -03:00,25.7,86.7,1012.6,0,146,4,0,0,0,23.2,969
08/01/2023 02:00:00 -03:00,25.8,87.8,1012.5,0.2,162,2.5,0,0,0,23.4,968
08/01/2023 03:00:00 -03:00,24.7,92,1012.5,0,180,2.5,0,0,0,23.2,967
08/01/2023 04:00:00 -03:00,24.1,93.9,1013,0,180,1.1,0,0,0,22.9,966
08/01/2023 05:00:00 -03:00,24.3,93.5,1013.5,0,253,2.5,0,2178,0,23.1,965
08/01/2023 06:00:00 -03:00,27.3,83.4,1013.8,0.1,166.4,4,0,6263,1,24,964
08/01/2023 07:00:00 -03:00,29.3,72.4,1014.2,1.5,133.9,5.4,0,18666,3,23.6,963
08/01/2023 08:00:00 -03:00,29.8,71.2,1014.6,1.9,127.3,6.8,0,33431,6,23.8,962
08/01/2023 09:00:00 -03:00,29.4,74.5,1014.9,2.2,141.9,6.8,0,34128,6,24.2,961
08/01/2023 10:00:00 -03:00,30,71.8,1014.8,2.6,136.9,8.6,0,50115,10,24.2,960
08/01/2023 11:00:00 -03:00,29.8,72.5,1014.3,2.9,121.7,8.6,0,42421,8,24.1,959
08/01/2023 12:00:00 -03:00,30.2,70.7,1013.6,2.7,132.5,8.6,0,52580,8,24,958
08/01/2023 13:00:00 -03:00,30,71.6,1012.8,2.6,126.9,6.8,0,42630,6,24,957
08/01/2023 14:00:00 -03:00,29.9,69.7,1012.3,2,132.9,5.4,0,35825,3,23.5,956
08/01/2023 15:00:00 -03:00,29,71.8,1012.3,2,129.1,6.8,0,22061,2,23.2,955
08/01/2023 16:00:00 -03:00,28.6,74.1,1012.4,1.3,144.8,5.4,0,15991,1,23.3,954
08/01/2023 17:00:00 -03:00,27.7,78.7,1012.7,1.8,134.8,5.4,0,3084,0,23.4,953
08/01/2023 18:00:00 -03:00,27.2,80.3,1013.1,1.6,126.2,5.4,0,0,0,23.3,952
08/01/2023 19:00:00 -03:00,27.1,81.3,1013.6,1.4,135.5,5.4,0,0,0,23.4,951
08/01/2023 20:00:00 -03:00,27,81.1,1014.2,0.8,136.1,5.4,0,0,0,23.2,950
08/01/2023 21:00:00 -03:00,26.8,83.1,1014.4,0.6,142.9,4,0,0,0,23.5,949
08/01/2023 22:00:00 -03:00,26.7,83.5,1014.2,0.8,122,5.4,0,0,0,23.5,948
08/01/2023 23:00:00 -03:00,26.4,85.4,1013.5,0.3,134.7,4,0,0,0,23.6,947
09/01/2023 00:00:00 -03:00,25.8,88,1013,0,151,2.5,0,0,0,23.5,946
09/01/2023 01:00:00 -03:00,24.4,94.1,1012.8,0,180,0,0,0,0,23.2,945
09/01/2023 02:00:00 -03:00,23.9,95.8,1012.4,0,180,0,0,0,0,23,944
09/01/2023 03:00:00 -03:00,23.3,97.4,1012.5,0,180,0,0,0,0,22.7,943
09/01/2023 04:00:00 -03:00,23,98,1013,0,180,0,0,0,0,22.6,942
09/01/2023 05:00:00 -03:00,23,98,1013.5,0,180,0,0,1624,0,22.6,941
09/01/2023 06:00:00 -03:00,25.1,91.4,1013.9,0.1,235,2.5,0,9014,2,23.4,940
