name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
52171-900,2023-01-02T10:00:00,29,32,22,65.98,0,0,rain,0,0,17.3,16.6,90,1014,50,10,525,1.9,5,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T11:00:00,29,32.8,23,70.11,0,0,rain,0,0,16.9,13,100,1013,89,10,511,1.8,5,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T12:00:00,29.9,33.8,22.7,65.54,0,0,rain,0,0,16.2,16.6,110,1013.1,83.9,15.2,684,2.5,7,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T13:00:00,29,32,22,65.98,0,0,rain,0,0,16.2,16.6,110,1012,89,10,444,1.6,4,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T14:00:00,29,32,22,65.98,0,0,,0,0,15.8,14.8,100,1011,89,10,545,2,5,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T15:00:00,28.8,31.8,22.1,66.99,0,0,rain,0,0,16.2,14.8,90,1010.4,73.5,15.2,502,1.8,5,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T16:00:00,29,32,22,65.98,0,0,rain,0,0,15.8,14.8,100,1010,89,10,271,1,3,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T17:00:00,28,30.7,22,69.92,0,0,,0,0,17.3,11.2,100,1011,89,10,176,0.6,2,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-02T18:00:00,27.9,30.5,22,70.35,0,0,,0,0,17.6,9.4,90,1011.4,73.5,15.2,23,0.1,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-02T19:00:00,27,29.2,22,74.14,0,0,,0,0,16.6,13,90,1012,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-02T20:00:00,27,29.2,22,74.14,0,0,,0,0,15.5,11.2,90,1013,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-02T21:00:00,26.1,26.1,22.7,82.01,0.3,100,rain,0,0,16.9,7.6,70,1013.3,89,5,0,,0,10,"Rain, Partially cloudy",rain,"82899099999,SBRF"
52171-900,2023-01-02T22:00:00,27,29.2,22,74.14,0,0,rain,0,0,18.4,14.8,80,1013,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-02T23:00:00,27,29.2,22,74.14,0,0,rain,0,0,23.4,13,80,1013,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T00:00:00,27.1,29.2,21.7,72.75,0,0,rain,0,0,24.5,16.6,90,1012.2,73.5,15.2,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T01:00:00,27,29.2,22,74.14,0,0,rain,0,0,24.8,11.2,80,1011,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T02:00:00,27,29.2,22,74.14,0,0,rain,0,0,21.6,11.2,80,1011,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T03:00:00,26.9,28.8,21.2,70.84,0,0,rain,0,0,18,13,90,1011.2,50,15.2,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T04:00:00,27,28.8,21,69.74,0,0,rain,0,0,17.6,13,90,1011,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T05:00:00,27,28.8,21,69.74,0,0,,0,0,15.8,13,80,1012,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T06:00:00,27,28.9,21.2,70.41,0,0,,0,0,18,13,90,1013.1,68.3,15.2,25,0.1,0,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T07:00:00,27,29.2,22,74.14,0,0,rain,0,0,17.3,14.8,90,1013,89,10,143,0.5,1,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T08:00:00,29,32,22,65.98,0,0,,0,0,17.6,16.6,100,1014,89,10,230,0.8,2,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T09:00:00,28.8,31.8,22.1,66.99,0,0,,0,0,16.9,16.6,100,1014.2,73.5,15.2,391,1.4,4,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T13:00:00,28,30.7,22,69.92,0,0,,0,0,15.8,14.8,80,1013,89,10,671,2.4,7,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T14:00:00,29,32,22,65.98,0,0,,0,0,15.1,16.6,80,1012,89,10,566,2,6,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T15:00:00,28.2,31,22.2,69.95,0,0,rain,0,0,14.8,14.8,90,1011.9,50,15.2,463,1.7,5,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T16:00:00,28,30.7,22,69.92,0,0,,0,0,14.4,13,100,1011,89,10,252,0.9,3,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T17:00:00,28,30.7,22,69.92,0,0,rain,0,0,16.2,16.6,100,1011,50,10,126,0.5,1,10,Partially cloudy,partly-cloudy-day,"82899099999,SBRF"
52171-900,2023-01-03T18:00:00,27.8,30.5,22.2,71.45,0,0,,0,0,17.6,13,80,1012.1,73.5,15.2,20,0.1,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T19:00:00,28,30.7,22,69.92,0,0,,0,0,17.6,13,90,1013,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T20:00:00,27,28.8,21,69.74,0,0,,0,0,15.8,13,100,1013,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T21:00:00,27.8,30.4,22,70.77,0,0,,0,0,19.4,11.2,90,1014.2,73.5,15.2,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T22:00:00,27,29.2,22,74.14,0,0,rain,0,0,19.8,11.2,100,1014,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-03T23:00:00,27,29.2,22,74.14,0,0,rain,0,0,20.2,13,90,1014,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
52171-900,2023-01-04T00:00:00,27,28.9,21.1,69.96,0,0,rain,0,0,20.5,11.2,90,1013.1,50,15.2,0,,0,10,Partially cloudy,partly-cloudy-night,"82899099999,SBRF"
