ts,value
06 Jan 2023 19:00:00,31.62
06 Jan 2023 20:00:00,31.31
06 Jan 2023 21:00:00,31
06 Jan 2023 22:00:00,30.75
06 Jan 2023 23:00:00,30.5
07 Jan 2023 00:00:00,30.25
07 Jan 2023 01:00:00,30.06
07 Jan 2023 02:00:00,29.88
07 Jan 2023 03:00:00,29.69
07 Jan 2023 04:00:00,29.5
07 Jan 2023 05:00:00,29.38
07 Jan 2023 06:00:00,29.25
07 Jan 2023 07:00:00,29.19
07 Jan 2023 08:00:00,29.38
07 Jan 2023 09:00:00,29.94
07 Jan 2023 10:00:00,30.75
07 Jan 2023 11:00:00,31.31
07 Jan 2023 12:00:00,32
07 Jan 2023 13:00:00,32.62
07 Jan 2023 14:00:00,32.75
07 Jan 2023 15:00:00,32.75
07 Jan 2023 16:00:00,32.5
07 Jan 2023 17:00:00,32.06
07 Jan 2023 18:00:00,31.69
07 Jan 2023 19:00:00,31.44
07 Jan 2023 20:00:00,31.12
07 Jan 2023 21:00:00,30.81
07 Jan 2023 22:00:00,30.56
07 Jan 2023 23:00:00,30.31
08 Jan 2023 00:00:00,30.06
08 Jan 2023 01:00:00,29.94
08 Jan 2023 02:00:00,29.75
08 Jan 2023 03:00:00,29.62
08 Jan 2023 04:00:00,29.44
08 Jan 2023 05:00:00,29.31
08 Jan 2023 06:00:00,29.19
08 Jan 2023 07:00:00,29.25
08 Jan 2023 08:00:00,29.62
08 Jan 2023 09:00:00,30
08 Jan 2023 10:00:00,30.75
08 Jan 2023 11:00:00,31.62
08 Jan 2023 12:00:00,31.81
08 Jan 2023 13:00:00,32.31
08 Jan 2023 14:00:00,32.31
08 Jan 2023 15:00:00,32.38
08 Jan 2023 16:00:00,32
08 Jan 2023 17:00:00,31.69
08 Jan 2023 18:00:00,31.38
08 Jan 2023 19:00:00,31.06
08 Jan 2023 20:00:00,30.81
08 Jan 2023 21:00:00,30.56
08 Jan 2023 22:00:00,30.31
08 Jan 2023 23:00:00,30.12
09 Jan 2023 00:00:00,29.94
09 Jan 2023 01:00:00,29.75
09 Jan 2023 02:00:00,29.62
09 Jan 2023 03:00:00,29.44
09 Jan 2023 04:00:00,29.31
09 Jan 2023 05:00:00,29.12
09 Jan 2023 06:00:00,29
09 Jan 2023 07:00:00,29.06
09 Jan 2023 08:00:00,29.38
09 Jan 2023 09:00:00,29.69
09 Jan 2023 10:00:00,30.19
09 Jan 2023 11:00:00,30.75
09 Jan 2023 12:00:00,30.88
09 Jan 2023 13:00:00,31.12
09 Jan 2023 14:00:00,31.25
09 Jan 2023 15:00:00,31.38
09 Jan 2023 16:00:00,31.25
09 Jan 2023 17:00:00,31.12
09 Jan 2023 18:00:00,30.88
09 Jan 2023 19:00:00,30.56
09 Jan 2023 20:00:00,30.31
09 Jan 2023 21:00:00,30.12
09 Jan 2023 22:00:00,29.88
09 Jan 2023 23:00:00,29.62
10 Jan 2023 00:00:00,29.5
10 Jan 2023 01:00:00,29.31
10 Jan 2023 02:00:00,29.12
10 Jan 2023 03:00:00,29
10 Jan 2023 04:00:00,28.81
10 Jan 2023 05:00:00,28.69
10 Jan 2023 06:00:00,28.5
10 Jan 2023 07:00:00,28.44
10 Jan 2023 08:00:00,28.88
10 Jan 2023 09:00:00,29.31
10 Jan 2023 10:00:00,30
10 Jan 2023 11:00:00,30.38
10 Jan 2023 12:00:00,31.06
10 Jan 2023 13:00:00,31.44
10 Jan 2023 14:00:00,31.62
10 Jan 2023 15:00:00,31.69
10 Jan 2023 16:00:00,31.5
10 Jan 2023 17:00:00,31.38
10 Jan 2023 18:00:00,31.12
10 Jan 2023 19:00:00,30.88
10 Jan 2023 20:00:00,30.56
10 Jan 2023 21:00:00,30.38
10 Jan 2023 22:00:00,30.12
10 Jan 2023 23:00:00,29.94
11 Jan 2023 00:00:00,29.75
11 Jan 2023 01:00:00,29.62
11 Jan 2023 02:00:00,29.44
11 Jan 2023 03:00:00,29.25
11 Jan 2023 04:00:00,29.12
11 Jan 2023 05:00:00,29
11 Jan 2023 06:00:00,28.88
11 Jan 2023 07:00:00,28.81
11 Jan 2023 08:00:00,28.88
11 Jan 2023 09:00:00,29.12
11 Jan 2023 10:00:00,29.88
11 Jan 2023 11:00:00,29.81
11 Jan 2023 12:00:00,29.69
11 Jan 2023 13:00:00,29.94
11 Jan 2023 14:00:00,30.31
11 Jan 2023 15:00:00,30.44
11 Jan 2023 16:00:00,30.44
11 Jan 2023 17:00:00,30.38
11 Jan 2023 18:00:00,30.25
11 Jan 2023 19:00:00,30
11 Jan 2023 20:00:00,29.75
11 Jan 2023 21:00:00,29.5
11 Jan 2023 22:00:00,29.19
11 Jan 2023 23:00:00,28.94
12 Jan 2023 00:00:00,28.62
12 Jan 2023 01:00:00,28.44
12 Jan 2023 02:00:00,28.25
12 Jan 2023 03:00:00,28.06
12 Jan 2023 04:00:00,27.88
12 Jan 2023 05:00:00,27.69
12 Jan 2023 06:00:00,27.5
12 Jan 2023 07:00:00,27.5
12 Jan 2023 08:00:00,27.56
12 Jan 2023 09:00:00,27.75
12 Jan 2023 10:00:00,28.25
12 Jan 2023 11:00:00,28.62
12 Jan 2023 12:00:00,29
12 Jan 2023 13:00:00,29.75
12 Jan 2023 14:00:00,30.06
12 Jan 2023 15:00:00,30.25
12 Jan 2023 16:00:00,30.31
12 Jan 2023 17:00:00,30.06
12 Jan 2023 18:00:00,29.69
12 Jan 2023 19:00:00,29.5
12 Jan 2023 20:00:00,29.25
12 Jan 2023 21:00:00,29
12 Jan 2023 22:00:00,28.69
12 Jan 2023 23:00:00,28.44
13 Jan 2023 00:00:00,28.19
13 Jan 2023 01:00:00,28
13 Jan 2023 02:00:00,27.81
13 Jan 2023 03:00:00,27.62
13 Jan 2023 04:00:00,27.44
13 Jan 2023 05:00:00,27.25
13 Jan 2023 06:00:00,27.06
13 Jan 2023 07:00:00,27.12
13 Jan 2023 08:00:00,27.38
13 Jan 2023 09:00:00,27.81
13 Jan 2023 10:00:00,28.44
13 Jan 2023 11:00:00,28.94
13 Jan 2023 12:00:00,29.19
13 Jan 2023 13:00:00,29.44
13 Jan 2023 14:00:00,29.62
13 Jan 2023 15:00:00,29.56
13 Jan 2023 16:00:00,29.44
13 Jan 2023 17:00:00,29.12
13 Jan 2023 18:00:00,28.75
13 Jan 2023 19:00:00,28.44
13 Jan 2023 20:00:00,28.19
